OTUID,Taxon,Confidence
000f505e95f04bedb717d6cf8a204ea6,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.887431477
001991eaea11679ef2e2e20ce57f6abf,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.965632653
00221f3c2c9c38253e9c870382592c78,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.995193304
003282dc088aaf9cc542141231b22493,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae,0.999364722
005d3193f381b0793f0c928bde66dd21,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__,0.998651398
0098eef1236c55a841d3ee9ca198a31b,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,0.944346989
0098f1001e2269083cb80958987091ca,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.726977802
009c0490f447bd0906ccd1112dfc0e41,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Cryocola; s__,0.92115843
00aa9811bcd4d1dcf54ac7a0c55e9125,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.997916078
00b4199ed841317e072aa975a5bbf602,k__Bacteria,0.930778902
00bd468e455f14151ade5f9e1f448db3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.957417744
00f28b93cdd7bf15fb402c0a8e194d42,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.991475036
01445ab5098c198dace056c2c84becf4,k__Bacteria,0.951175112
014c5d760d7ea42963a7f33704b25c2c,k__Bacteria,0.937023219
014c5eac7817574c27a328f980d1f676,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.933298605
0164b7c8258eeffcf49bb137abe38a7e,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__hathewayi,0.813322127
01736d321ee9129113729baa3506213a,k__Bacteria,0.954244184
01965ec55d499ecaee0cf9583b5718a7,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__,1
01a63d3379635e941c8b0eef07136518,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__; s__,0.960201051
01f2d743d1ebd0f2583d06d87a2a3d0f,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.975405021
01ff53849643d183ee73e64ca1dc4fcd,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus,0.776646919
0203f969920901394b0b659701c31957,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.96988795
020696fcd53902d3adb483066ffbc012,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae,0.999893935
0209d05b9fc1df7ba1ebe46212a2ce5a,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__,0.999997154
022ba1c9319689ced8eb5291a9b0410a,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.9999845
022f11d35e50a348056a6a4b396a3bf8,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__,1
0242e9db67c7b7776f27ab2c1bcd1459,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__dolichum,1
024ac9e8e2582fee0f792c77a7770d8e,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__L7A_E11; s__,0.789966568
026ac7fd8279b1b99448929b4823e29e,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.782618653
02a81c38c758a57c04c0d9373ddd4867,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__reuteri,0.9912446
02f0f8430d693d0269e37da262fa91ab,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.99999996
030d0dfa992345e388f3e3f2b833a3af,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria,0.941778806
031214385f7dc917bfeefc2d64e90359,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.988190543
0315cd8d6636585e136765ef3f4d68ad,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.982439069
03197e0a300476fc4a9393bcca66fa7e,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.999955138
033384d3017e07e13fbd04929ec4f50e,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__bromii,0.934379455
036eab8506c6ade39b269dbeab870ca6,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.813388641
039ca597c40bb72dc3b0ea25c41a606e,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.883553398
03a76051d9c1585f5ea540b760f2dc36,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,0.999999997
03b85478a93c9da8008e81190d74ff9e,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__,0.999999855
03f1ec4ae90bad4ae8dbcb6291c02832,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.974204594
041212830fe82d644b63fa5f1b68800d,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.999150006
04452c83340ecb71a3c1bea0251bbd75,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__callidus,0.998312407
044792e303d9eaf9265092428a4b6fa1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.999185709
0460cb999dca2691523673d0d92cacfe,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__,1
046eb5df43f39d9cf7b2055eb14c41c5,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__,0.999999999
047405cee7979691f8abd0794a452db5,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.99990757
047b2147bc417ecb710b34a6ce353881,k__Bacteria,0.952125407
047fa6fa7b3caa75f79a2716962b8f2d,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.908485496
0493dbd3904617d5add4eb6e56b3aaaa,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__,0.785192907
0495ee5a976b4e675a8f08bc17428218,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.999840633
04971809052481b1866deb12bf5aebad,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,0.999999997
04a75f1199d1bc6b58d19dd8aeb24520,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter; s__,0.999614033
04a79736420e423d4cd6043253521d58,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.999474462
04bb565690893e54ba147a858e9c57da,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__,0.944371617
04ded369e0f047051ba8fd98c1b40fb0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__,0.996999471
04fea3baafeada7167a2824595057c41,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__obeum,0.99476489
050be40748ba138bed5f68e86a1ee4b8,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.974491943
05131eda47202ff9fac2775b1cd653e8,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__,0.999999998
052040f040eed5aabe28e27b4acd3cbf,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.99999999
0528f537c382781ad08f7c73cd605f88,k__Bacteria,0.932612742
052ab6dd0fadcee704538661db3bd42c,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia; s__coli,0.859552396
05410d4440d9213b00d8d245742d5449,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.999999858
054222944fa9bb88afe88eb24739ba4f,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.985514
0553d6830de1a828d8175b9255380893,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.987241702
0565b303816978de5e68f0994a5cab6d,k__Bacteria,0.935687615
05d8c498c599d3493f9c16c844f2ef02,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__reuteri,0.993472754
05e5b08e1faba46438269d2a5909578a,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.994517377
05f891ea42696c56c580de5ac73a7c8f,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.718912763
0618a66a00e21d39e8314105dafbc53e,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis,0.999962622
061f659d843606a68949ec8213e5d49b,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.933247206
064168e52e0097e78244779b2530bacc,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.99999332
0667b1a15d100633599dbb01e9dbb54f,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae,0.777549478
0673c01e9e6593415b6420a50b3647fd,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.999854185
06a92c101ae1ebdb6c22a992cff6579d,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.999995586
06aab1f464dfb079209df8e126e7781f,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__,0.999999966
06b3bb8ed7acbe37b0f360b260dacc6c,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta,0.9121958
071fcba63ae4c37549ad8adf260a6f59,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis,0.999673253
076b8959be336cbaf5716b82e9954440,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.999999165
07a3896620d1ba67233e06704a768fb2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.791937713
07b58afb139686cbdfb507f56cad38f3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.862270726
07bff612a919cb7ddb70c28265671e7e,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__,0.999623479
07c0c2b99dcd28beddc9d2c58f381202,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.977441005
07d0062e63a21a31a692129f8fe16ac6,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__,0.999999561
07d2fa68a6e56569c4e2c352642efad3,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus,0.996420249
07f38f8f2bbdfe7754f736722ed759ef,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.970956827
080892b20b7553b4f70f22a03f9ada2a,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.954439683
